"","X","Countries.and.territories","DateRep","Cases","Deaths"
"215","Italy.215","Italy","01/09/2020",975,8
"216","Italy.216","Italy","02/09/2020",1326,6
"217","Italy.217","Italy","03/09/2020",1397,10
"218","Italy.218","Italy","04/09/2020",1732,11
"219","Italy.219","Italy","05/09/2020",1694,16
"220","Italy.220","Italy","06/09/2020",1296,7
"221","Italy.221","Italy","07/09/2020",1150,12
"222","Italy.222","Italy","08/09/2020",1369,10
"223","Italy.223","Italy","09/09/2020",1430,14
"224","Italy.224","Italy","10/09/2020",1597,10
"225","Italy.225","Italy","11/09/2020",1616,10
"226","Italy.226","Italy","12/09/2020",1501,6
"227","Italy.227","Italy","13/09/2020",1456,7
"228","Italy.228","Italy","14/09/2020",1008,14
"229","Italy.229","Italy","15/09/2020",1229,9
"230","Italy.230","Italy","16/09/2020",1452,12
"231","Italy.231","Italy","17/09/2020",1583,13
"232","Italy.232","Italy","18/09/2020",1907,10
"233","Italy.233","Italy","19/09/2020",1637,24
"234","Italy.234","Italy","20/09/2020",1587,15
"235","Italy.235","Italy","21/09/2020",1350,17
"236","Italy.236","Italy","22/09/2020",1391,14
"237","Italy.237","Italy","23/09/2020",1640,20
"238","Italy.238","Italy","24/09/2020",1786,23
"239","Italy.239","Italy","25/09/2020",1912,20
"240","Italy.240","Italy","26/09/2020",1869,17
"241","Italy.241","Italy","27/09/2020",1766,17
"242","Italy.242","Italy","28/09/2020",1494,16
"243","Italy.243","Italy","29/09/2020",1647,24
"244","Italy.244","Italy","30/09/2020",1850,19
"245","Italy.245","Italy","01/10/2020",2548,24
"246","Italy.246","Italy","02/10/2020",2499,23
"247","Italy.247","Italy","03/10/2020",2843,27
"248","Italy.248","Italy","04/10/2020",2578,18
"249","Italy.249","Italy","05/10/2020",2257,16
"250","Italy.250","Italy","06/10/2020",2677,28
"251","Italy.251","Italy","07/10/2020",3677,31
"252","Italy.252","Italy","08/10/2020",4458,22
"253","Italy.253","Italy","09/10/2020",5372,28
"254","Italy.254","Italy","10/10/2020",5724,29
"255","Italy.255","Italy","11/10/2020",5456,26
"256","Italy.256","Italy","12/10/2020",4619,39
"257","Italy.257","Italy","13/10/2020",5898,41
"258","Italy.258","Italy","14/10/2020",7332,43
"259","Italy.259","Italy","15/10/2020",8803,83
"260","Italy.260","Italy","16/10/2020",10009,55
"261","Italy.261","Italy","17/10/2020",10925,47
"262","Italy.262","Italy","18/10/2020",11705,69
"263","Italy.263","Italy","19/10/2020",9337,73
"264","Italy.264","Italy","20/10/2020",10871,89
"265","Italy.265","Italy","21/10/2020",15199,127
"266","Italy.266","Italy","22/10/2020",16078,136
"267","Italy.267","Italy","23/10/2020",19143,91
"268","Italy.268","Italy","24/10/2020",19640,151
"269","Italy.269","Italy","25/10/2020",21273,128
"270","Italy.270","Italy","26/10/2020",17007,141
"271","Italy.271","Italy","27/10/2020",21989,221
"272","Italy.272","Italy","28/10/2020",24988,205
"273","Italy.273","Italy","29/10/2020",26829,217
"274","Italy.274","Italy","30/10/2020",31079,199
"275","Italy.275","Italy","31/10/2020",31756,297
"276","Italy.276","Italy","01/11/2020",29905,208
"277","Italy.277","Italy","02/11/2020",22253,233
"278","Italy.278","Italy","03/11/2020",28241,353
"279","Italy.279","Italy","04/11/2020",30548,352
"280","Italy.280","Italy","05/11/2020",34502,428
"281","Italy.281","Italy","06/11/2020",37802,446
"282","Italy.282","Italy","07/11/2020",39809,425
"283","Italy.283","Italy","08/11/2020",32614,331
"284","Italy.284","Italy","09/11/2020",25269,356
"285","Italy.285","Italy","10/11/2020",35090,580
"286","Italy.286","Italy","11/11/2020",32961,623
"287","Italy.287","Italy","12/11/2020",37977,636
"288","Italy.288","Italy","13/11/2020",40902,550
"289","Italy.289","Italy","14/11/2020",37249,544
"290","Italy.290","Italy","15/11/2020",33977,546
"291","Italy.291","Italy","16/11/2020",27352,504
"292","Italy.292","Italy","17/11/2020",32191,731
"293","Italy.293","Italy","18/11/2020",34280,753
"294","Italy.294","Italy","19/11/2020",36176,653
"295","Italy.295","Italy","20/11/2020",37239,699
"296","Italy.296","Italy","21/11/2020",34764,692
"297","Italy.297","Italy","22/11/2020",28337,562
"298","Italy.298","Italy","23/11/2020",22927,630
"299","Italy.299","Italy","24/11/2020",23227,853
"300","Italy.300","Italy","25/11/2020",25852,722
"301","Italy.301","Italy","26/11/2020",29001,822
"302","Italy.302","Italy","27/11/2020",28342,827
"303","Italy.303","Italy","28/11/2020",26315,686
"304","Italy.304","Italy","29/11/2020",20646,541
"305","Italy.305","Italy","30/11/2020",16376,672
"306","Italy.306","Italy","01/12/2020",19347,785
"307","Italy.307","Italy","02/12/2020",20709,684
"308","Italy.308","Italy","03/12/2020",23219,993
"309","Italy.309","Italy","04/12/2020",24110,814
"310","Italy.310","Italy","05/12/2020",21052,662
"311","Italy.311","Italy","06/12/2020",18887,564
"312","Italy.312","Italy","07/12/2020",13679,528
"313","Italy.313","Italy","08/12/2020",14837,634
"314","Italy.314","Italy","09/12/2020",12755,499
"315","Italy.315","Italy","10/12/2020",16998,887
"316","Italy.316","Italy","11/12/2020",18726,761
"317","Italy.317","Italy","12/12/2020",19902,649
"318","Italy.318","Italy","13/12/2020",17937,484
"319","Italy.319","Italy","14/12/2020",12025,491
"320","Italy.320","Italy","15/12/2020",14839,846
"321","Italy.321","Italy","16/12/2020",17568,680
"322","Italy.322","Italy","17/12/2020",18233,683
"323","Italy.323","Italy","18/12/2020",15401,674
"324","Italy.324","Italy","19/12/2020",16305,553
"325","Italy.325","Italy","20/12/2020",15102,352
"326","Italy.326","Italy","21/12/2020",10869,415
"327","Italy.327","Italy","22/12/2020",13316,628
"328","Italy.328","Italy","23/12/2020",13908,553
"329","Italy.329","Italy","24/12/2020",18039,505
"330","Italy.330","Italy","25/12/2020",19037,459
"331","Italy.331","Italy","26/12/2020",10405,261
"332","Italy.332","Italy","27/12/2020",8937,305
"333","Italy.333","Italy","28/12/2020",8581,445
"334","Italy.334","Italy","29/12/2020",11210,659
"335","Italy.335","Italy","30/12/2020",16202,575
"336","Italy.336","Italy","31/12/2020",23477,555
"337","Italy.337","Italy","01/01/2021",22210,462
"338","Italy.338","Italy","02/01/2021",11825,364
"339","Italy.339","Italy","03/01/2021",14245,347
"340","Italy.340","Italy","04/01/2021",10798,348
"341","Italy.341","Italy","05/01/2021",15375,649
"342","Italy.342","Italy","06/01/2021",20326,548
"343","Italy.343","Italy","07/01/2021",18416,414
"344","Italy.344","Italy","08/01/2021",17529,620
"345","Italy.345","Italy","09/01/2021",19976,483
"346","Italy.346","Italy","10/01/2021",18625,361
"347","Italy.347","Italy","11/01/2021",12530,448
"348","Italy.348","Italy","12/01/2021",14242,616
"349","Italy.349","Italy","13/01/2021",15773,507
"350","Italy.350","Italy","14/01/2021",17243,522
"351","Italy.351","Italy","15/01/2021",16144,477
"352","Italy.352","Italy","16/01/2021",16310,475
"353","Italy.353","Italy","17/01/2021",12544,377
"354","Italy.354","Italy","18/01/2021",8825,377
"355","Italy.355","Italy","19/01/2021",10496,603
"356","Italy.356","Italy","20/01/2021",13568,524
"357","Italy.357","Italy","21/01/2021",14055,521
"358","Italy.358","Italy","22/01/2021",13633,472
"359","Italy.359","Italy","23/01/2021",13331,488
"360","Italy.360","Italy","24/01/2021",11628,299
"361","Italy.361","Italy","25/01/2021",8559,420
"362","Italy.362","Italy","26/01/2021",10584,541
"363","Italy.363","Italy","27/01/2021",15191,467
"364","Italy.364","Italy","28/01/2021",14360,492
"365","Italy.365","Italy","29/01/2021",13563,477
"366","Italy.366","Italy","30/01/2021",12713,421
"367","Italy.367","Italy","31/01/2021",11249,237
"368","Italy.368","Italy","01/02/2021",7925,329
"369","Italy.369","Italy","02/02/2021",9651,499
"370","Italy.370","Italy","03/02/2021",13182,476
"371","Italy.371","Italy","04/02/2021",13656,421
"372","Italy.372","Italy","05/02/2021",14213,377
"373","Italy.373","Italy","06/02/2021",13439,385
"374","Italy.374","Italy","07/02/2021",11640,270
"375","Italy.375","Italy","08/02/2021",7969,307
"376","Italy.376","Italy","09/02/2021",10612,422
"377","Italy.377","Italy","10/02/2021",12947,336
"378","Italy.378","Italy","11/02/2021",15137,391
"379","Italy.379","Italy","12/02/2021",13893,316
"380","Italy.380","Italy","13/02/2021",13523,311
"381","Italy.381","Italy","14/02/2021",11060,221
"382","Italy.382","Italy","15/02/2021",7344,258
"383","Italy.383","Italy","16/02/2021",10368,336
"384","Italy.384","Italy","17/02/2021",12066,369
"385","Italy.385","Italy","18/02/2021",13755,347
"386","Italy.386","Italy","19/02/2021",15470,348
"387","Italy.387","Italy","20/02/2021",14914,251
"388","Italy.388","Italy","21/02/2021",13450,232
"389","Italy.389","Italy","22/02/2021",9617,274
"390","Italy.390","Italy","23/02/2021",13299,356
"391","Italy.391","Italy","24/02/2021",16402,318
"392","Italy.392","Italy","25/02/2021",19871,308
"393","Italy.393","Italy","26/02/2021",20488,253
"394","Italy.394","Italy","27/02/2021",18902,280
"395","Italy.395","Italy","28/02/2021",17440,192
"396","Italy.396","Italy","01/03/2021",13106,246
"397","Italy.397","Italy","02/03/2021",17063,343
"398","Italy.398","Italy","03/03/2021",20840,347
"399","Italy.399","Italy","04/03/2021",22845,339
"400","Italy.400","Italy","05/03/2021",24010,297
"401","Italy.401","Italy","06/03/2021",23633,307
"402","Italy.402","Italy","07/03/2021",20724,207
"403","Italy.403","Italy","08/03/2021",13882,318
"404","Italy.404","Italy","09/03/2021",19725,376
"405","Italy.405","Italy","10/03/2021",22275,332
"406","Italy.406","Italy","11/03/2021",25649,373
"407","Italy.407","Italy","12/03/2021",26790,380
"408","Italy.408","Italy","13/03/2021",26031,317
"409","Italy.409","Italy","14/03/2021",21304,264
"410","Italy.410","Italy","15/03/2021",15252,354
"411","Italy.411","Italy","16/03/2021",20376,502
"412","Italy.412","Italy","17/03/2021",23040,431
"413","Italy.413","Italy","18/03/2021",24901,423
"414","Italy.414","Italy","19/03/2021",25707,386
"415","Italy.415","Italy","20/03/2021",23913,401
"416","Italy.416","Italy","21/03/2021",20045,300
"417","Italy.417","Italy","22/03/2021",24501,386
"418","Italy.418","Italy","23/03/2021",18739,551
"419","Italy.419","Italy","24/03/2021",21246,460
"420","Italy.420","Italy","25/03/2021",23681,460
"421","Italy.421","Italy","26/03/2021",24076,457
"422","Italy.422","Italy","27/03/2021",23834,380
"423","Italy.423","Italy","28/03/2021",19604,297
"424","Italy.424","Italy","29/03/2021",12900,417
"425","Italy.425","Italy","30/03/2021",16055,529
"426","Italy.426","Italy","31/03/2021",23887,467
"427","Italy.427","Italy","01/04/2021",22184,501
"428","Italy.428","Italy","02/04/2021",21917,481
"429","Italy.429","Italy","03/04/2021",21247,376
"430","Italy.430","Italy","04/04/2021",18017,326
"431","Italy.431","Italy","05/04/2021",10680,296
"432","Italy.432","Italy","06/04/2021",7763,421
"433","Italy.433","Italy","07/04/2021",13686,627
"434","Italy.434","Italy","08/04/2021",17209,487
"435","Italy.435","Italy","09/04/2021",18924,718
"436","Italy.436","Italy","10/04/2021",17551,344
"437","Italy.437","Italy","11/04/2021",15737,331
"438","Italy.438","Italy","12/04/2021",9780,358
"439","Italy.439","Italy","13/04/2021",13439,476
"440","Italy.440","Italy","14/04/2021",16160,469
"441","Italy.441","Italy","15/04/2021",16963,380
"442","Italy.442","Italy","16/04/2021",15923,429
"443","Italy.443","Italy","17/04/2021",15364,310
"444","Italy.444","Italy","18/04/2021",12688,251
"445","Italy.445","Italy","19/04/2021",8863,316
"446","Italy.446","Italy","20/04/2021",12069,390
"447","Italy.447","Italy","21/04/2021",13836,364
"448","Italy.448","Italy","22/04/2021",16046,360
"449","Italy.449","Italy","23/04/2021",14758,342
"450","Italy.450","Italy","24/04/2021",13814,322
"451","Italy.451","Italy","25/04/2021",13157,217
"452","Italy.452","Italy","26/04/2021",8440,301
"453","Italy.453","Italy","27/04/2021",10398,373
"454","Italy.454","Italy","28/04/2021",13382,344
"455","Italy.455","Italy","29/04/2021",14314,288
"456","Italy.456","Italy","30/04/2021",13445,263
"457","Italy.457","Italy","01/05/2021",12964,226
"458","Italy.458","Italy","02/05/2021",9145,144
"459","Italy.459","Italy","03/05/2021",5946,256
"460","Italy.460","Italy","04/05/2021",9113,305
"461","Italy.461","Italy","05/05/2021",10579,267
"462","Italy.462","Italy","06/05/2021",11798,258
"463","Italy.463","Italy","07/05/2021",10549,207
"464","Italy.464","Italy","08/05/2021",10174,224
"465","Italy.465","Italy","09/05/2021",8289,139
"466","Italy.466","Italy","10/05/2021",5077,198
"467","Italy.467","Italy","11/05/2021",6943,251
"468","Italy.468","Italy","12/05/2021",7848,262
"469","Italy.469","Italy","13/05/2021",8082,201
"470","Italy.470","Italy","14/05/2021",7562,182
"471","Italy.471","Italy","15/05/2021",6652,136
"472","Italy.472","Italy","16/05/2021",5748,93
"473","Italy.473","Italy","17/05/2021",3454,140
"474","Italy.474","Italy","18/05/2021",4449,201
"475","Italy.475","Italy","19/05/2021",5500,149
"476","Italy.476","Italy","20/05/2021",5736,164
"477","Italy.477","Italy","21/05/2021",5215,218
"478","Italy.478","Italy","22/05/2021",4714,125
"479","Italy.479","Italy","23/05/2021",3993,72
"480","Italy.480","Italy","24/05/2021",2489,110
"481","Italy.481","Italy","25/05/2021",3220,166
"482","Italy.482","Italy","26/05/2021",3935,121
"483","Italy.483","Italy","27/05/2021",4143,171
"484","Italy.484","Italy","28/05/2021",3737,126
"485","Italy.485","Italy","29/05/2021",3348,83
"486","Italy.486","Italy","30/05/2021",2948,44
"487","Italy.487","Italy","31/05/2021",1818,82
"488","Italy.488","Italy","01/06/2021",2483,93
"489","Italy.489","Italy","02/06/2021",2896,62
"490","Italy.490","Italy","03/06/2021",1963,59
"491","Italy.491","Italy","04/06/2021",2556,73
"492","Italy.492","Italy","05/06/2021",2434,57
"493","Italy.493","Italy","06/06/2021",2275,51
"494","Italy.494","Italy","07/06/2021",1270,65
"495","Italy.495","Italy","08/06/2021",1894,102
"496","Italy.496","Italy","09/06/2021",2198,77
"497","Italy.497","Italy","10/06/2021",2078,88
"498","Italy.498","Italy","11/06/2021",1892,69
"499","Italy.499","Italy","12/06/2021",1722,52
"500","Italy.500","Italy","13/06/2021",1390,26
"501","Italy.501","Italy","14/06/2021",907,36
"502","Italy.502","Italy","15/06/2021",1253,63
"503","Italy.503","Italy","16/06/2021",1400,52
"504","Italy.504","Italy","17/06/2021",1323,37
"505","Italy.505","Italy","18/06/2021",1147,35
"506","Italy.506","Italy","19/06/2021",1193,28
"507","Italy.507","Italy","20/06/2021",881,17
"508","Italy.508","Italy","21/06/2021",484,21
"509","Italy.509","Italy","22/06/2021",834,31
"510","Italy.510","Italy","23/06/2021",1140,30
"511","Italy.511","Italy","24/06/2021",266,10
"512","Italy.512","Italy","25/06/2021",751,56
"513","Italy.513","Italy","26/06/2021",838,40
"514","Italy.514","Italy","27/06/2021",780,14
"515","Italy.515","Italy","28/06/2021",387,28
"516","Italy.516","Italy","29/06/2021",677,42
"517","Italy.517","Italy","30/06/2021",776,24
"518","Italy.518","Italy","01/07/2021",879,21
"519","Italy.519","Italy","02/07/2021",794,28
"520","Italy.520","Italy","03/07/2021",929,22
"521","Italy.521","Italy","04/07/2021",806,12
"522","Italy.522","Italy","05/07/2021",480,31
"523","Italy.523","Italy","06/07/2021",907,24
"524","Italy.524","Italy","07/07/2021",1010,14
"525","Italy.525","Italy","08/07/2021",1391,13
"526","Italy.526","Italy","09/07/2021",1386,25
"527","Italy.527","Italy","10/07/2021",1394,12
"528","Italy.528","Italy","11/07/2021",1391,7
"529","Italy.529","Italy","12/07/2021",887,13
"530","Italy.530","Italy","13/07/2021",1530,20
"531","Italy.531","Italy","14/07/2021",2153,23
"532","Italy.532","Italy","15/07/2021",2473,9
"533","Italy.533","Italy","16/07/2021",2895,11
"534","Italy.534","Italy","17/07/2021",3118,13
"535","Italy.535","Italy","18/07/2021",3126,3
"536","Italy.536","Italy","19/07/2021",2070,7
"537","Italy.537","Italy","20/07/2021",3555,10
"538","Italy.538","Italy","21/07/2021",4254,21
"539","Italy.539","Italy","22/07/2021",5056,15
"540","Italy.540","Italy","23/07/2021",5142,17
"541","Italy.541","Italy","24/07/2021",5138,5
"542","Italy.542","Italy","25/07/2021",4742,7
"543","Italy.543","Italy","26/07/2021",3115,22
"544","Italy.544","Italy","27/07/2021",4516,24
"545","Italy.545","Italy","28/07/2021",5693,15
"546","Italy.546","Italy","29/07/2021",6167,19
"547","Italy.547","Italy","30/07/2021",6613,18
"548","Italy.548","Italy","31/07/2021",6509,16
"549","Italy.549","Italy","01/08/2021",5320,5
"550","Italy.550","Italy","02/08/2021",3185,20
"551","Italy.551","Italy","03/08/2021",4841,27
"552","Italy.552","Italy","04/08/2021",6590,21
"553","Italy.553","Italy","05/08/2021",7224,27
"554","Italy.554","Italy","06/08/2021",6599,24
"555","Italy.555","Italy","07/08/2021",6897,22
"556","Italy.556","Italy","08/08/2021",5733,11
"557","Italy.557","Italy","09/08/2021",4200,22
"558","Italy.558","Italy","10/08/2021",5624,31
"559","Italy.559","Italy","11/08/2021",6921,31
"560","Italy.560","Italy","12/08/2021",7267,30
"561","Italy.561","Italy","13/08/2021",7398,45
"562","Italy.562","Italy","14/08/2021",7181,34
"563","Italy.563","Italy","15/08/2021",5661,19
"564","Italy.564","Italy","16/08/2021",3669,24
"565","Italy.565","Italy","17/08/2021",5268,54
"566","Italy.566","Italy","18/08/2021",7159,69
"567","Italy.567","Italy","19/08/2021",7240,55
"568","Italy.568","Italy","20/08/2021",7220,49
"569","Italy.569","Italy","21/08/2021",7466,45
"570","Italy.570","Italy","22/08/2021",5922,23
"571","Italy.571","Italy","23/08/2021",4166,44
"572","Italy.572","Italy","24/08/2021",6078,60
"573","Italy.573","Italy","25/08/2021",7539,59
"574","Italy.574","Italy","26/08/2021",7215,43
"575","Italy.575","Italy","27/08/2021",7823,45
"576","Italy.576","Italy","28/08/2021",6858,54
"577","Italy.577","Italy","29/08/2021",5954,37
"578","Italy.578","Italy","30/08/2021",4253,53
"579","Italy.579","Italy","31/08/2021",5492,75
"580","Italy.580","Italy","01/09/2021",6496,69
"581","Italy.581","Italy","02/09/2021",6754,62
"582","Italy.582","Italy","03/09/2021",6729,58
"583","Italy.583","Italy","04/09/2021",6156,56
"584","Italy.584","Italy","05/09/2021",5314,49
"585","Italy.585","Italy","06/09/2021",3347,52
"586","Italy.586","Italy","07/09/2021",4715,71
"587","Italy.587","Italy","08/09/2021",5921,69
"588","Italy.588","Italy","09/09/2021",5518,59
"589","Italy.589","Italy","10/09/2021",5617,62
"590","Italy.590","Italy","11/09/2021",5191,57
"591","Italy.591","Italy","12/09/2021",4664,34
"592","Italy.592","Italy","13/09/2021",2792,36
"593","Italy.593","Italy","14/09/2021",4009,72
"594","Italy.594","Italy","15/09/2021",4826,73
"595","Italy.595","Italy","16/09/2021",5115,67
"596","Italy.596","Italy","17/09/2021",4544,66
"597","Italy.597","Italy","18/09/2021",4576,51
"598","Italy.598","Italy","19/09/2021",3836,26
"599","Italy.599","Italy","20/09/2021",2405,44
"600","Italy.600","Italy","21/09/2021",3374,67
"601","Italy.601","Italy","22/09/2021",3963,67
"602","Italy.602","Italy","23/09/2021",4053,63
"603","Italy.603","Italy","24/09/2021",3790,52
"604","Italy.604","Italy","25/09/2021",3519,50
"605","Italy.605","Italy","26/09/2021",3099,44
"606","Italy.606","Italy","27/09/2021",1773,45
"607","Italy.607","Italy","28/09/2021",2962,65
"608","Italy.608","Italy","29/09/2021",3212,63
"609","Italy.609","Italy","30/09/2021",4094,51
"610","Italy.610","Italy","01/10/2021",3403,52
"611","Italy.611","Italy","02/10/2021",3309,25
"612","Italy.612","Italy","03/10/2021",2967,33
"613","Italy.613","Italy","04/10/2021",1612,37
"614","Italy.614","Italy","05/10/2021",2463,50
"615","Italy.615","Italy","06/10/2021",3232,39
"616","Italy.616","Italy","07/10/2021",2933,41
"617","Italy.617","Italy","08/10/2021",3017,30
"618","Italy.618","Italy","09/10/2021",2747,46
"619","Italy.619","Italy","10/10/2021",2278,27
"620","Italy.620","Italy","11/10/2021",1516,34
"621","Italy.621","Italy","12/10/2021",2486,49
"622","Italy.622","Italy","13/10/2021",2769,37
"623","Italy.623","Italy","14/10/2021",2666,40
"624","Italy.624","Italy","15/10/2021",2729,42
"625","Italy.625","Italy","16/10/2021",2982,14
"626","Italy.626","Italy","17/10/2021",2435,24
"627","Italy.627","Italy","18/10/2021",1594,44
"628","Italy.628","Italy","19/10/2021",2695,70
"629","Italy.629","Italy","20/10/2021",3699,33
"630","Italy.630","Italy","21/10/2021",3791,36
"631","Italy.631","Italy","22/10/2021",3879,39
"632","Italy.632","Italy","23/10/2021",3905,39
"633","Italy.633","Italy","24/10/2021",3723,24
"634","Italy.634","Italy","25/10/2021",2535,30
"635","Italy.635","Italy","26/10/2021",4053,48
"636","Italy.636","Italy","27/10/2021",4595,50
"637","Italy.637","Italy","28/10/2021",4863,50
"638","Italy.638","Italy","29/10/2021",5332,33
"639","Italy.639","Italy","30/10/2021",4877,37
"640","Italy.640","Italy","31/10/2021",4525,26
"641","Italy.641","Italy","01/11/2021",2818,20
"642","Italy.642","Italy","02/11/2021",2831,41
"643","Italy.643","Italy","03/11/2021",5188,63
"644","Italy.644","Italy","04/11/2021",5902,59
"645","Italy.645","Italy","05/11/2021",6761,51
"646","Italy.646","Italy","06/11/2021",6760,31
"647","Italy.647","Italy","07/11/2021",5822,26
"648","Italy.648","Italy","08/11/2021",4547,32
"649","Italy.649","Italy","09/11/2021",6111,68
"650","Italy.650","Italy","10/11/2021",8033,60
"651","Italy.651","Italy","11/11/2021",8697,67
"652","Italy.652","Italy","12/11/2021",8522,68
"653","Italy.653","Italy","13/11/2021",8539,53
"654","Italy.654","Italy","14/11/2021",7565,36
"655","Italy.655","Italy","15/11/2021",5199,44
